(42.091236, -79.232872)
(42.559372, -79.126991)
(42.099285, -76.826782)
(42.091446, -76.79686)
(42.541813, -75.524773)
(44.700279, -73.466751)
(42.246239, -73.776306)
(42.609051, -76.186195)
(41.717392, -73.92942)
(41.694523, -73.935799)
(41.934223, -73.912331)
(42.900394, -78.865707)
(42.908955, -78.875404)
(42.92717, -78.829224)
(42.84853, -78.812859)
(42.898525, -78.865013)
(42.92905, -78.849953)
(40.909217, -73.115198)
(42.977848, -78.878754)
(42.508575, -78.659103)
(42.914642, -78.784241)
(44.343929, -74.144363)
(44.85677, -74.291893)
(43.068096, -74.330643)
(43.00404, -78.177475)
(43.964928, -75.912827)
(43.986073, -75.595421)
(43.795677, -75.498146)
(42.551964, -77.700195)
(43.07869, -75.654449)
(42.814011, -75.541962)
(43.135769, -77.607544)
(43.192619, -77.584503)
(43.124336, -77.623779)
(43.191551, -77.701538)
(42.953758, -74.216194)
(40.871731, -73.62159)
(40.594418, -73.651054)
(40.741699, -73.643082)
(40.688408, -73.63324)
(40.681789, -73.685814)
(40.649601, -73.6315)
(40.725353, -73.554321)
(40.77924, -73.702888)
(40.810238, -73.508614)
(40.725853, -73.478714)
(40.774471, -73.478264)
(40.800301, -73.669098)
(43.176472, -78.670998)
(43.094048, -79.0504)
(43.026154, -78.862457)
(43.154659, -79.030556)
(43.28714, -78.707054)
(43.229935, -75.443466)
(43.083561, -75.267189)
(43.098179, -75.275383)
(43.007816, -76.17025)
(43.055744, -76.149384)
(43.042622, -76.138809)
(43.041107, -76.137932)
(42.875748, -76.987427)
(42.960537, -77.138863)
(42.875027, -77.289818)
(41.503017, -74.015129)
(41.439953, -74.368744)
(41.260586, -74.357185)
(41.367916, -74.682487)
(43.223637, -78.397141)
(43.315116, -76.406098)
(42.457405, -75.053261)
(42.695793, -74.922684)
(41.384766, -73.664413)
(42.743382, -73.675735)
(41.096249, -73.924957)
(41.112255, -74.133003)
(44.692039, -75.499908)
(44.936363, -74.907951)
(44.338207, -75.474411)
(44.676151, -74.981529)
(43.084843, -73.796341)
(42.819839, -73.918747)
(42.141293, -77.047562)
(42.314438, -77.660164)
(42.372952, -77.278656)
(40.778915, -72.978035)
(40.885757, -72.380692)
